,Submission Date,Instituição de ensino superior,"Se outra, qual?",Dentro da minha instituição sou,Idade,Orientação sexual,Caso queiras especificar:,Identidade de género,Caso queiras especificar:.1,Sou intersexo:,Indica o teu conhecimento sobre >> Temas LGBTI+,Indica o teu conhecimento sobre >> Iniciativas dinamizadas sobre temas LGBTI+ na tua faculdade,Indica o teu conhecimento sobre >> A importância da existência de casas de banho neutras,Tens um núcleo LGBTI+ na tua instituição?,Tens conhecimento de alguma iniciativa relacionada com casas de banho neutras na tua instituição?,"Uma casa de banho neutra, para mim, é...",Quão confortável te sentes a usar... >> a casa de banho feminina?,Quão confortável te sentes a usar... >> a casa de banho masculina?,Já usaste uma casa de banho neutra num espaço público?,Quão confortável te sentes ao usar...,Quão confortável achas que te sentirias ao usar...,Queres justificar a tua resposta à pergunta anterior?,A tua instituição tem casas de banho neutras?,Como funcionam e quantas há?,Já sofreste discriminação ao utilizar uma casa de banho pública?,Esse episódio de discriminação foi numa instituição de ensino superior?,Como seria para ti uma casa de banho neutra segura?,Há mais alguma coisa que gostarias de nos dizer?
282,2022/06/03 10:47:13,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,,Alune,18-19,Bissexual/Pansexual,,Homem trans,,Não,5 - muito,3 - algum,5 - muito,Não sei,,a safe space,1,4,NÃO,,5,,Não tenho a certeza,,Sim,Sim,,
283,2022/06/03 10:39:25,Outra,Universidade Católica do Porto,Alune,20-21,Homossexual,,Pessoa não-binária,,Sim,4 - suficiente ,1 - nenhum,5 - muito,Não,não,não ter que me encaixar nos padrões cisgenero e héteronormativos. possibilidade de existência não marginalizada,3 ,1,NÃO,,5,,Não,,Sim,Sim,,
284,2022/06/03 10:12:46,Outra,Faculdade de Belas Artes de Lisboa,Ex-alune,22-23,Bissexual/Pansexual,"Não sou atraído, seja pelo gênero ou sexo da pessoa, sim pela personalidade da mesma, e como esta me faz sentir e me trata",Homem trans,"Sou um homem trans, super "" Não passavel"" Na época de faculdade, e fui abordado várias vezes pelas funcionaries que não me encontrava na wc certa, enfim constrangedor e discriminatóriogedor",Não,3 - algum,2 - pouco,5 - muito,Não sei,"Não, em 2018 fui o primeiro a assumir me trans na mesma, a única coisa que mudou foram as regras do trage de prache, reepeitaram me e autorizaram me a fazer as atividades como mais confortável me sentisse",Igualmente e segurança pra quem não se encaixa em padrões binários,1,3 ,SIM,5,,"Não há olhares prejurativios, entras numa casa de banho neutra é só mais uma pessoa que tem nessecidades para fazer, é reconfortante a simplicidade",Não,,Sim,Sim,"Pelo simples facto de ser neutra, não tem rótulos  é só um wc como qualquer um destinado a quem precisa de fazer nessecidades, como qualquer humano faz e precisa",
285,2022/06/03 10:10:19,Outra,Universidade Católica Portuguesa - faculdade de ciências humanas,Alune,22-23,Bissexual/Pansexual,,Mulher cisgénero,,Não,4 - suficiente ,1 - nenhum,5 - muito,Não,,Uma necessidade porque ninguém deveria ter de se encaixar numa identidade de género para usar a casa de banho,4,4,SIM,5,,"É uma casa de banho, se puder fechar a porta do cubículo ou da própria casa de banho, não me importa saber quem mais a usa, e muito menos com que género é que essas pessoas se identificam",Não,,Não,,Qualquer casa de banho com cubículos que possam ser fechados,
286,2022/06/03 10:09:00,Outra,ICBAS,Alune,20-21,Não quero especificar,,Homem cisgénero,,Não,4 - suficiente ,4 - suficiente ,3 - algum,Não sei,,"Casa de banho para quem não se identifica nem com o gênero homem, nem com o de mulher, nem com o de deficientes",1,5,NÃO,,5,,Não,,Não,,Igual às outras 3,
287,2022/06/03 09:46:40,Universidade de Lisboa - Faculdade de Ciências,,Alune,18-19,Homossexual,,Homem cisgénero,,Não,4 - suficiente ,2 - pouco,5 - muito,Sim,,"a restroom where, regardless of gender, anyone can go and use. I am of the opinion that it’s main goal would be so people that don’t identify with any gender or are in between may go there without feeling discriminated against nor like they have to pick one of the binary genders.",nunca usei,5,NÃO,,5,Since any gender is expected to use the gender neutral restroom I can’t foresee a reason as to why I would not feel comfortable using it.,Não,,Não,,"One that as visible stalls for anyone to see, whilst having big enough doors and walls so no one can look inside. Furthermore, the washbasin would be completely out in the open.",
288,2022/06/03 09:32:31,Outra,University of Porto - Faculty of Sciences,Alune,20-21,Bissexual/Pansexual,,Homem cisgénero,,Não,3 - algum,1 - nenhum,2 - pouco,Não sei,,"I'm not sure, but I think it is to non-binery people.",nunca usei,4,NÃO,,3 ,I am still not sure who is supposed to go on that restrooms,Não,,Não,,,I think people need more information about this subject
289,2022/06/03 09:31:27,Outra,Universidade da Beira Interior,Alune,27-29,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,2 - pouco,5 - muito,Não sei,,,4,2,SIM,5,,,Sim,,Não,,,
290,2022/06/03 09:15:29,Outra,ULHT,Alune,18-19,Bissexual/Pansexual,,Mulher cisgénero,,Não,5 - muito,1 - nenhum,5 - muito,Não sei,,,5,1,SIM,5,,,Não,,Não,,,
291,2022/06/03 08:58:40,Universidade de Coimbra,,Alune,20-21,Bissexual/Pansexual,,Mulher cisgénero,,Não,5 - muito,3 - algum,5 - muito,Não sei,,,5,2,SIM,5,,,Não tenho a certeza,,Não,,,
292,2022/06/03 08:57:01,Outra,Universidade de Aveiro,Alune,20-21,Homossexual,,Pessoa não-binária,,Não,4 - suficiente ,3 - algum,5 - muito,Não sei,,,4,1,NÃO,,5,,Não,,Não,,,
293,2022/06/03 07:55:02,Outra,Faculdade Ciências Sociais e Humanas da Universidade NOVA de Lisboa,Alune,18-19,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,5 - muito,4 - suficiente ,Não,,"Para mim, a existência de uma casa de banho neutra não me afeta (diretamente). Contudo, reconheço que para certas pessoas seja algo importante para se sentirem reconhecidas. Para mim, está é então razão suficiente para se ponderar em adotar este modelo",5,nunca usei,SIM,4,,"Às vezes tenho receio de sofrer de algum tipo de assédio, ainda para mais se a casa de banho for, por exemplo, na cave de um estabelecimento.",Não,,Não,,,
294,2022/06/03 07:49:49,Outra,Faculdade de Ciências Sociais e Humanas - NOVA,Alune,18-19,Bissexual/Pansexual,,Mulher cisgénero,,Não,4 - suficiente ,3 - algum,3 - algum,Não sei,,,5,1,SIM,5,,,Não,,Não,,,
295,2022/06/03 07:42:12,Outra,Faculdade medicina universidade de Lisboa,Ex-alune,24-26,Homossexual,,Mulher cisgénero,,Não,4 - suficiente ,1 - nenhum,5 - muito,Não,,,5,2,SIM,5,,,Sim,"Há 1. Não tem indicação de género, qualquer pessoa entra a qualquer altura que queira",Não,,,
296,2022/06/03 07:20:03,Universidade de Coimbra,,Alune,22-23,Heteressexual,,Homem cisgénero,,Não,5 - muito,5 - muito,1 - nenhum,Sim,,,nunca usei,5,NÃO,,1,,Não,,Não,,,
297,2022/06/03 06:47:42,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,,Ex-alune,30-39,Homossexual,,Homem cisgénero,,Não,5 - muito,2 - pouco,1 - nenhum,Não,,Um não problema,nunca usei,5,NÃO,,5,Não me interessa as pessoas que vão à casa de banho para nada. Só me interessa o motivo que me leva a precisar de a utilizar,Não,,Não,,,As pessoas precisam de ser respeitadoras dos outros. O conceito de ter uma coisa mais adaptada para x ou y nao resolve o problema na origem
298,2022/06/03 04:26:42,Outra,Universidade do Minho,Ex-alune,30-39,Bissexual/Pansexual,,Homem cisgénero,,Não,5 - muito,3 - algum,4 - suficiente ,Sim,Nao,"Utilizada por qualquer pessoa, privada, unipessoal. 

Garante a privacidade e atenua constrangimentos e medos de todos os tipos. ",nunca usei,4,SIM,5,,,Não tenho a certeza,,Não,,,
299,2022/06/03 04:16:08,Outra,Instituto superior de ciências sociais e políticas - universidade de Lisboa,Alune,18-19,Heteressexual,,Mulher cisgénero,,Não,3 - algum,2 - pouco,3 - algum,Não sei,,,5,nunca usei,NÃO,,3 ,,Não,,Não,,,
300,2022/06/03 03:43:42,Outra,Universidade Lusófona,Alune,20-21,Bissexual/Pansexual,,Mulher cisgénero,,Não,5 - muito,2 - pouco,4 - suficiente ,Não,,"Uma casa de banho neutra é essencial para que seja possível proporcionar o conforto a todos os que nos rodeiam, sejam eles não binários, trans ou cigeneros.

É importante relembrar que a evolução precisa de ser constante e, como tal a criação de uma casa de banho neutra é um passo para que a aceitação e a normalização do “conforto” do indivíduo seja reconhecido e que deixe de ser abordado como “capricho”.

Contudo, também é notório que ao haver uma casa de banho neutra em todos os postos sanitários é necessária uma para cada género (masculino/feminino) visto que existem de facto outros indivíduos que não se sentes confortáveis com casas de banho neutras.

Assim, a criação de uma casa de banho neutra, em concordância com as já existentes apenas traria pontos positivos para a evolução da mentalidade nãos estabelecimentos.",3 ,1,SIM,3 ,,"Infelizmente, a sociedade portuguesa detém um pensamento fechado, o que proporciona o desconforto não só entre mulheres mas entre todos aqueles que são vítimas do pensamento machista e retrógrado. 

Com isto quero reforçar que ao utilizar a casa de banho neutra em espaços públicos deixa-me nervosa, visto que com base na explicação acima, nunca sei quem ou quando alguém vai traspassar os limites da minha liberdade e sentir que pode abusar do meu corpo só porque estamos numa casa de banho neutra. 

Não culpo as casas de banho, culpo a falta de informação destas  pessoas que nao tem bem definidas o conceito de neutro. 

Neutro é 0, sem opinião, nao é um pedido para ultrapassar e apoderar-se do corpo ou escolha da outra pessoa. ",Não,,Não,,"Uma casa de banho igual as que já existem, com divisórias entre sanitas, cadeados nas portas, o normal.

Como já referi na resposta anterior, o problema não são as casa de banho, é a falta de informação das pessoas para com este assunto.","Este assunto precisa de ser mais vezes abordado, como tal experimentem fazer questionários sobre a awareness nas faculdades"
301,2022/06/03 02:48:25,Outra,Faculdade de Letras da Universidade do Porto,Docente,27-29,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,2 - pouco,4 - suficiente ,Não sei,,Uma casa-de-banho para todxs. O objetivo é o mesmo de qualquer outra casa-de-banho.,5,1,SIM,5,,,Não,,Não,,Com cubículos.,
302,2022/06/03 02:42:31,Outra,ISCTE,Alune,20-21,Homossexual,,Mulher cisgénero,,Não,4 - suficiente ,1 - nenhum,3 - algum,Não,,"It's a safe space to queer people. It allows us to feel more comfortable and it's not something inconvenient for cis het folk, it even makes the wc lines in parties smaller for both genders how about that.",4,2,NÃO,,5,"As a kinda masc lesbian, I don't fully fit in with the feminine image that society imposes on us women. Because of that, I often feel rather out of place when I'm using the women's bathroom, everyone is all dolled up and I feel like the odd one out, sometimes I even feel like they see me as a predator, which is unfortunate and not a good feeling at all.",Não,,Sim,Sim,It would make me feel more comfortable and safe.,"Maybe ask the down sides of gendered bathrooms, that way we can all work our brains together and improve it."
303,2022/06/03 02:07:27,Outra,Faculdade de Engenharia da Universidade do Porto,Alune,20-21,"Assexual
Bissexual/Pansexual
Heteressexual
Em questionamento",,Pessoa não-binária,,Não,5 - muito,2 - pouco,4 - suficiente ,Não sei,,"Para toda a gente que se sinta mais confortável, tanto por estar a questionar o seu género ou se identificar como pessoa não binária ou por sentir que, por exemplo por ser trans, não está segura na casa de banho correspondente ao seu género",5,nunca usei,SIM,5,,,Não,,Não,,,
304,2022/06/03 01:40:13,Outra,Universidade de Aveiro,Alune,20-21,Não me identifico com estas opções,Aromantica,Mulher cisgénero,,Não,3 - algum,2 - pouco,4 - suficiente ,Sim,,,5,1,NÃO,,5,,Não,,Não,,,
305,2022/06/03 01:31:05,Outra,ISEG,Alune,22-23,Heteressexual,,Mulher cisgénero,,Não,3 - algum,2 - pouco,2 - pouco,Não sei,,,5,nunca usei,NÃO,,3 ,Tenho receio de homens que se possam aproveitar da situação. Acho que não me sentiria muito segura caso fosse uma casa de banho neutra com múltiplos cubículos.,Não tenho a certeza,,Não,,,
306,2022/06/03 01:22:34,Universidade Nova de Lisboa - School of Business and Economics,,Ex-alune,30-39,Homossexual,,Homem cisgénero,,Não,4 - suficiente ,1 - nenhum,5 - muito,Não sei,,"Para todas as pessoas com o objetivo de existir menos um motivo de descriminação com base no género. Aquilo que todos fazemos na casa de banho é idêntico, não justificando haver esta separação.",4,4,SIM,4,,"A minha única questão prende-se com a higiene. Mas imagino que vá dar ao mesmo, na verdade.",Não,,Não,,,
307,2022/06/03 01:05:59,Outra,ISCTE,Alune,20-21,Heteressexual,,Mulher cisgénero,,Não,5 - muito,3 - algum,5 - muito,Sim,Supostamente retiraram os placares com as figuras de “homem” e “mulher” nas casas-de-banho. Mas penso que não seja uma boa solução.,Para quem quiser! Para se sentirem confortáveis e sem medo. A faculdade deve ser um sítio inclusivo e onde passamos os nossos melhores anos. Uma casa-de-banho neutra poderia tornar isso uma realidade para muita gente.,5,2,NÃO,,4,,Não,,Não,,,
308,2022/06/03 01:01:53,Outra,Faculdade de Farmácia da Universidade de Lisboa,Ex-alune,24-26,Bissexual/Pansexual,,Pessoa não-binária,,Não,5 - muito,2 - pouco,5 - muito,Sim,,"for everyone really. There should be NO gendered bathrooms. It's just a toilet for god sake. I don't think there should be a masc, femme and then an extra neutral bathroom. That just targets queer people who use it",4,1,SIM,5,,,Não,,Sim,Não,,
309,2022/06/03 00:51:40,Outra,Faculdade de ciências sociais e humanas,Alune,20-21,Homossexual,,Pessoa não-binária,,Não,4 - suficiente ,3 - algum,5 - muito,Não,,,nunca usei,2,NÃO,,4,,Não,,Não,,,
310,2022/06/03 00:46:01,Universidade Nova de Lisboa - School of Business and Economics,,Prefiro não responder,22-23,Bissexual/Pansexual,Pansexual,Homem cisgénero,,Não quero especificar,4 - suficiente ,3 - algum,5 - muito,Não sei,,com privacidade,nunca usei,1,SIM,5,,,Não,,Prefiro não responder,,com privacidade e insonorização (ou barulho de fundo como música ou similar para abafar ruídos corporais),
311,2022/06/03 00:30:57,Outra,"Instituto Politécnico de Lisboa, Escola Superior de Comunicação Social",Ex-alune,24-26,Homossexual,,Homem trans,,Não,5 - muito,3 - algum,5 - muito,Não,Há uma casa de banho neutra,"Para quem quiser. Não acho que devam ser todas neutras, casas de banho, principalmente para as mulheres, são espaços mais seguros",1,5,SIM,5,,,Sim,"Há 1 (há cerca de mais 6, 3 de mulheres e 3 de homens). Tem duas sanitas e um urinol.",Não,,Uma casa de banho com todos os locais tapados,
312,2022/06/03 00:29:50,Outra,Intsituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,Ex-alune,24-26,Bissexual/Pansexual,,Mulher cisgénero,,Não,5 - muito,1 - nenhum,4 - suficiente ,Não,,"Para casa de banho neutra é para todas as pessoas! Incluindo obviamente pessoas com mobilidade reduzida. Ajuda a combater a discriminação que alguém possa sofrer pela sua aparência não corresponder ao que a sociedade considera como o tradicional ""feminino"" e ""masculino""",5,3 ,SIM,5,,"Já utilizei casas de banho de cafés ou restaurantes mais pequenos que não tem espaço para ter as casas de banho separadas e não houve problema nenhum. O argumento dos ""ataques"" a mulheres nas casas de banho neutras não tem fundamento nenhum. Se alguém quiser atacar uma pessoa, não é por um símbolo na porta que não o vai fazer. 

Em termos de privacidade, desde que haja cubículos, há sempre privacidade.",Não,,Não,,Uma casa de banho com cubículos com fechadura.,"Pareceu-me um bom questionário. Acho importante começar a haver este tipo de conversa cá em Portugal. Creio que ainda não há muito, provavelmente pela parte mais conservadora e tradicional deste nosso país."
313,2022/06/03 00:18:07,Outra,Iscte - Instituto Universitário de Lisboa,Alune,22-23,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,2 - pouco,5 - muito,Não,Uma das listas para a AE tinha como proposta casas de banho neutras e é cada vez mais falada a sua importância,"Para pessoas não-binárias, para que possam utiluzar uma wc com a qual se identifiquem e se sintam segures. Seria também uma boa opção para pessoas transgénero que não se sintam confortaveis a usar casas de banho binárias. O objetivo seria a inclusao e uma respista abragente de todes",5,nunca usei,NÃO,,5,"Um dos argumentos usados contra as casas de banho neutras é a possibilidade de violência sexual. Mas aqui está a diferença entre casas de banho neutras e mistas. Eu nao me sentiria à vontade a utilizar uma wc masculina/mista sendo que a maiores des agressorus sexuais sao do sexo masculino.

Pessoaa nao binarias ou transgenero nao me deixam pouco à vontade e nao seria por eu eventualmente poder ter medo que lhes quereria tirar o direito a uma casa de banho onde se sentissem mais confortaveis. O problemas nao sao as pessoas que usariam estas wc, mas sim as pessoas com mentalidades misogenas e violentas que pensam diretamente em violencia sexual. Casas de banho neutras sao urgentes e necessarias",Não,,Não,,"Uma wc onde nao me sentisse desconfortavel, onde pudesse sentir camaradagem (como acontece por exemplo, quando alguem que menstrua pede um penso ou um tampao na wc - usualmente feminina). Onde soubesse que toda a gente se sentia bem e estava ali porque queria, nai por falta de opcoes",
314,2022/06/03 00:16:59,"Nenhuma, nunca frequentei/trabalhei no contexto de ensino superior",,Alune,menos de 18,"Não me identifico com estas opções
Não quero especificar",,"Homem trans
Pessoa não-binária",,Não,5 - muito,1 - nenhum,5 - muito,Não sei,,"para um homen trans que não passa, casas de banho neutras iriam me fazer sentir mais bem vindo e confortavel.",3 ,1,NÃO,,5,,Não,,Sim,Não,Um lugar sem julgamento daqueles que vão,
315,2022/06/03 00:15:07,Outra,Universidade Nova faculdade de ciências sociais e humanas,Alune,18-19,Homossexual,,Homem cisgénero,,Não,5 - muito,5 - muito,5 - muito,Não,,Uma casa de banho que não caia nos binários para uma pessoa trans não contradizer a sua natureza e encaixar se numa caixa falsa em que não se reconhece mas que as outras pessoas reconhecem. Uma casa de banho onde existe conforto até para pessoas binárias que não se sentem confortáveis nas casas de banho estabelecidas como um homem cis gay numa casa de banho masculina,2,3 ,NÃO,,5,,Não,,Sim,Não,,
316,2022/06/03 00:13:50,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,,Prefiro não responder,menos de 18,Homossexual,lésbica,Mulher cisgénero,,Não quero especificar,4 - suficiente ,5 - muito,5 - muito,Não sei,,,3 ,nunca usei,NÃO,,5,,Não tenho a certeza,,Não,,,
317,2022/06/03 00:10:34,Outra,Universidade do Porto - Faculdade de Medicina (FMUP),Alune,22-23,Em questionamento,,Homem cisgénero,,Não,5 - muito,3 - algum,3 - algum,Não,Não,Um casa de banho. Para quem tem necessidade de lá ir.,1,3 ,SIM,4,,,Não,,Não,,"Cada sanitário bem individualizado. Se tiver urinois tbm bem individualizados. Acima de tudo, com privacidade",
318,2022/06/03 00:08:52,Outra,Iseg,Alune,24-26,Heteressexual,,Mulher cisgénero,,Não,3 - algum,2 - pouco,5 - muito,Não,Não,,5,1,SIM,5,,,Não,,Não,,,
319,2022/06/02 23:57:41,Outra,FMUP,Alune,20-21,"Homossexual
Em questionamento",,Mulher cisgénero,,Não,5 - muito,2 - pouco,2 - pouco,Não,,,5,nunca usei,NÃO,,4,,Não,,Não,,,
320,2022/06/02 23:52:57,Universidade de Coimbra,,Funcionárie não docente,mais de 50,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,2 - pouco,5 - muito,Não sei,,Uma forma simples de tornar os espaços públicos mais inclusivos.,4,3 ,SIM,4,,,Não,,Não,,,
321,2022/06/02 23:52:05,Outra,Universidade de Lisboa Faculdade de Belas Artes,Ex-alune,22-23,Heteressexual,,Mulher cisgénero,,Não,3 - algum,3 - algum,5 - muito,Não,"As casas de banho do bar da minha faculdade são neutras, contudo todas as restantes casas de banho dentro da instituição são separadas por género.",Para todes! As casas de banho neutras seria mais uma iniciativa de inclusão e quebrar a rotulagem de género feminino e masculino.,5,3 ,SIM,5,,,Sim,,Não,,,
322,2022/06/02 23:51:26,Universidade de Lisboa - Instituto Superior Técnico,,Ex-alune,24-26,Em questionamento,,Mulher cisgénero,,Não,4 - suficiente ,1 - nenhum,4 - suficiente ,Não,,Para pessoas que são binárias. Se eles se sentem mulher/homem não devem ser obrigados a escolher uma casa de banho devem ter a casa de banho designada para eles,5,1,NÃO,,4,,Não,,Não,,Com a designação de WC neutro.,
323,2022/06/02 23:37:55,Outra,Universidade de Aveiro,Ex-alune,27-29,Homossexual,,Homem cisgénero,,Não,4 - suficiente ,2 - pouco,3 - algum,Não sei,Não,"Para todos. Todos utilizarem o mesmo espaço, mas terem a privacidade que desejam. Não distinguir e não excluir.",nunca usei,5,NÃO,,5,,Não tenho a certeza,,Não,,,Parabéns pela iniciativa. Tentem fazer mais iniciativas fora de Lisboa e Porto para atualizar mentalidades :)
324,2022/06/02 23:27:36,Outra,Faculdade de Psicologia - Universidade de Lisboa,Alune,20-21,Assexual,,Homem trans,,Não,4 - suficiente ,4 - suficiente ,3 - algum,Sim,,"Para qualquer pessoa que não se sinta segur@ nas casas de banho masculinas e femininas, por uma questão de privacidade e segurança.",2,2,NÃO,,4,"Ainda não me sinto seguro para usar a casa de banho masculina, pelo que a casa de banho neutra seria boa para essa sensação de segurança.",Não tenho a certeza,,Sim,Sim,,
325,2022/06/02 23:15:32,Outra,"ISEG - Lisbon School Of Economics and Management, Universidade de Lisboa",Alune,20-21,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,1 - nenhum,5 - muito,Não,Não,"É para todas as pessoas! Tem como principal objetivo eliminar os conceitos binários que estão presentes em quase todos os aspetos da nossa sociedade. Integrar todas as pessoas nas atividades quotidianas, não descurando o bem estar de algumas que não se integram nos padrões da sociedade.",5,2,NÃO,,5,"Ia sentir que pertenço ali, e ninguém me iria olhar de lado.",Não,,Não,,,
326,2022/06/02 22:48:24,Outra,Faculdade de Belas Artes da Universidade do Porto,Ex-alune,27-29,Bissexual/Pansexual,Porque é que colocaram bi e pan na mesma caixinha?,Pessoa não-binária,,Não,5 - muito,1 - nenhum,5 - muito,Não,,Um local que deve ser seguro e privado.,5,1,SIM,5,,"Para mim, todas as casas de banho deveriam ser neutras, no sentido em que não deveria haver sequer essa divisão por género. O acesso ao cubículo deveria ser direto, sem termos que passar por um hall ou espaço comum. Uma sanita é uma sanita. Porque não um wc individual com porta de cima a baixo, direta para o corredor?",Não,,Sim,Não,"Não sabia que esta pergunta ia surgir. A minha resposta é a que dei na pergunta de desenvolvimento anterior. Acrescento ao que disse que cada cubículo teria uma sanita e um urinol, para que seja usufruivel por todes.",
327,2022/06/02 22:41:32,Universidade de Coimbra,,Alune,22-23,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,3 - algum,3 - algum,Não sei,,"É uma casa de banho para toda a gente independente do sexo e de como identifica-se, abrangendo toda a gente de forma igual e imparcial de forma a que pessoas que por exemplo que não se identifiquem como mulheres/homens possam se sentir inseridos e não discriminados",5,4,SIM,5,,,Não,,Não,,,
328,2022/06/02 22:34:29,Outra,Escola Superior de Artes e Design,Docente,mais de 50,Heteressexual,,Homem cisgénero,,Não,5 - muito,3 - algum,5 - muito,Não,sim. tanto a direção executiva como a AE já promoveram a abertura de WC neutros havendo vários na escola,para todos,5,5,SIM,5,,é o mais natural. nas nossas casas não temos separação por género.,Sim,há seis e entra quem quer,Não,,"para ser segura, o ambiente em volta tem de ser seguro",
329,2022/06/02 22:24:40,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,,Alune,20-21,Homossexual,,Mulher cisgénero,,Não,5 - muito,3 - algum,5 - muito,Sim,,,5,2,SIM,5,,,Não,,Não,,,
330,2022/06/02 22:18:54,Outra,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Alune,22-23,Bissexual/Pansexual,,Homem cisgénero,,Não,4 - suficiente ,1 - nenhum,3 - algum,Não,,,3 ,5,NÃO,,4,,Não,,Não,,,
331,2022/06/02 21:57:14,"Nenhuma, nunca frequentei/trabalhei no contexto de ensino superior",,Outro,22-23,Heteressexual,,Homem trans,,Não,4 - suficiente ,1 - nenhum,5 - muito,Não sei,Não,Muito importante pois sou um homem Trans e no início da transição tinha bastante dificuldades em ir a uma casa de banho pública pois não me enquadrava em nenhuma,1,3 ,NÃO,,5,Porque sou homem Trans seria mais fácil em público para me sentir confortável,Não,,Sim,Não,Com compartimentos fechados apenas por privacidade,
332,2022/06/02 21:56:33,Outra,Instituto Superior de Economia e Gestão,Alune,18-19,Bissexual/Pansexual,,Mulher cisgénero,,Não,3 - algum,2 - pouco,3 - algum,Não sei,,Specially for transgender people who don't feel comfortable enough going to a bathroom restricted for people of feminine or masculine sex,5,nunca usei,SIM,5,,"Back in my town, It was a bathroom designed for the whole family to attend (its name was actually Family Bathroom but anyone could enter), without mother's having to worry about taking their sons to a women's restroom etc.",Não,,Não,,,
333,2022/06/02 21:56:19,Universidade de Coimbra,,Alune,20-21,Heteressexual,,Mulher cisgénero,,Não,3 - algum,5 - muito,3 - algum,Não sei,,"Era uma boa ideia, se  ao houvesse tantos abusos. Raparigas já tem tanto medo de andae na rua sozinhas, agora tem de começar ir acompanhadas  a ex por terem medo?",5,3 ,SIM,2,,Medo de homens...nojo.... deixam tudo  super sujo.,Sim,"Nao sei quantas há, mas entra sem quiser. T",Não,,"Ter alguém à porta é só absurdo, mas sim seria essa a ideia.",
334,2022/06/02 21:53:21,Universidade de Coimbra,,Alune,24-26,Heteressexual,,Homem cisgénero,,Não,3 - algum,2 - pouco,5 - muito,Não sei,,,nunca usei,5,NÃO,,5,Não vejo nenhum motivo para não me sentir confortável.,Não,,Não,,,
335,2022/06/02 21:52:20,Outra,Minho,Alune,27-29,Bissexual/Pansexual,,Mulher cisgénero,,Não,3 - algum,2 - pouco,5 - muito,Não sei,,"Idealmente para todas as pessoas, não entendo qualquer necessidade de fazer essa divisão.",5,4,SIM,5,,,Não,,Prefiro não responder,,,
336,2022/06/02 21:45:18,Universidade de Coimbra,,Alune,24-26,Homossexual,,Pessoa não-binária,Agenero,Não,4 - suficiente ,2 - pouco,3 - algum,Não sei,,Um local onde me sinto livre sem me sentir intimidade por pessoas do mesmo sexo (masculino) e onde não intimide pessoas do sexo oposto (feminino),4,3 ,SIM,5,,"Pessoas que usam a casa de banho neutra, usam por necessidade e porque se identificam com o local, exatamente como eu",Não,,Prefiro não responder,,Um local que todos possamos usar sem se sentir intimidado e no qual a nossa individualidade é respeitada,
337,2022/06/02 21:34:49,Outra,ISEL - Instituto Superior de Engenharia de Lisboa,Alune,22-23,Bissexual/Pansexual,,Homem trans,,Não,5 - muito,1 - nenhum,5 - muito,Não,Nao,"Super importante, não vejo motivo para o binário",1,3 ,SIM,5,,,Não,,Sim,Sim,,
338,2022/06/02 21:34:22,Universidade de Lisboa - Faculdade de Ciências,,Alune,20-21,Homossexual,,Mulher cisgénero,,Não,5 - muito,2 - pouco,5 - muito,Não sei,No instituto superior de agronomia não,A safe place,5,1,NÃO,,5,,Não,,Sim,Sim,,
339,2022/06/02 21:24:07,Universidade de Lisboa - Faculdade de Ciências,,Alune,18-19,Bissexual/Pansexual,,Mulher cisgénero,,Não,4 - suficiente ,4 - suficiente ,5 - muito,Sim,,Uma casa de banho adicional às femininas e masculinas que pode ser usada por quem quiser ou não se sinta confortável a usar as outras wc. Penso que é uma forma de tornar a faculdade um lugar melhor para pessoas não binárias.,5,nunca usei,SIM,4,,"Apesar de saber a importância de haver casas de banho neutras não podemos ignorar as dificuldades que podiam surgir se esta fosse a única opção disponível. Como mulher não me sinto confortável a partilhar a casa de banho com homens uma vez que para nós a casa de banho é muitas vezes um sítio para fazer mais do que necessidade, mas também um sítio para falar e etc. Para além das questões de assédio sexual. Por isso a minha opinião é que devia haver as três opções disponíveis.",Não,,Não,,"Como já disse, não me sentiria totalmente à vontade se essa fosse a única opção.",
340,2022/06/02 21:10:58,Universidade de Coimbra,,Alune,20-21,Bissexual/Pansexual,,Mulher cisgénero,,Não,5 - muito,1 - nenhum,5 - muito,Não,,,5,4,NÃO,,5,,Sim,,Não,,,
